CarrierReference,ConnectDateTime,Duration,SourceNumber,DestinationNumber,Direction
55683885434,10/02/2023 4:36,34,61385928844,61723194848,OUTBOUND
55683885441,10/02/2023 4:41,198,61899226710,61738200585,OUTBOUND
55683885451,10/02/2023 4:44,66,61899226709,61856667669,OUTBOUND
55683885454,10/02/2023 4:46,123,61288555348,64413964141,OUTBOUND
55683885458,10/02/2023 4:50,111,61385928843,61323632140,OUTBOUND
55683885467,10/02/2023 4:52,67,61385928843,61294596750,OUTBOUND
55683885472,10/02/2023 4:53,126,61385928841,61441329705,OUTBOUND
55683885482,10/02/2023 4:58,152,61288555347,64471408091,OUTBOUND
55683885492,10/02/2023 4:59,112,61288555346,61738200585,OUTBOUND
55683885496,10/02/2023 5:03,63,61899226706,64615704231,OUTBOUND
55683885503,10/02/2023 5:08,141,61723194848,61899226706,INBOUND
55683885507,10/02/2023 5:10,105,61395554321,64334353011,OUTBOUND
55683885509,10/02/2023 5:13,130,61385928844,64359883917,OUTBOUND
55683885519,10/02/2023 5:17,30,61395554324,61732099448,OUTBOUND
55683885522,10/02/2023 5:20,173,61479508554,61385928843,INBOUND
55683885532,10/02/2023 5:22,200,61288555349,64688061616,OUTBOUND
55683885536,10/02/2023 5:24,10,64767816824,61395554324,INBOUND
55683885545,10/02/2023 5:26,140,61755841651,61899226706,INBOUND
55683885548,10/02/2023 5:27,135,61899226709,61254377177,OUTBOUND
55683885556,10/02/2023 5:31,140,61288555347,64356962375,OUTBOUND
55683885561,10/02/2023 5:35,205,61395554321,61753117685,OUTBOUND
55683885565,10/02/2023 5:37,166,61395554320,61413273425,OUTBOUND
55683885570,10/02/2023 5:42,209,64688061616,61395554323,INBOUND
55683885578,10/02/2023 5:46,135,61899226706,61878700323,OUTBOUND
55683885587,10/02/2023 5:47,92,61288555348,64318910380,OUTBOUND
55683885589,10/02/2023 5:48,43,61288555350,64852051663,OUTBOUND
55683885599,10/02/2023 5:51,64,61450237674,61288555346,INBOUND
55683885602,10/02/2023 5:53,134,61899226706,61473674041,OUTBOUND
55683885606,10/02/2023 5:57,209,61385928840,61809654570,OUTBOUND
55683885612,10/02/2023 5:58,191,61395554322,61808084220,OUTBOUND
55683885618,10/02/2023 6:00,16,61899226707,61716651767,OUTBOUND
55683885622,10/02/2023 6:03,76,61385928840,64550858527,OUTBOUND
55683885625,10/02/2023 6:03,110,61385928840,64582028630,OUTBOUND
55683885633,10/02/2023 6:04,85,61288555350,61724542242,OUTBOUND
55683885642,10/02/2023 6:08,26,61899226709,61378948481,OUTBOUND
55683885647,10/02/2023 6:09,85,61288555348,61803567779,OUTBOUND
55683885649,10/02/2023 6:12,3,61801855142,61395554324,INBOUND
55683885652,10/02/2023 6:14,108,61385928843,61742689489,OUTBOUND
55683885656,10/02/2023 6:17,38,61395554322,64813613343,OUTBOUND
55683885660,10/02/2023 6:17,188,61288555346,64582028630,OUTBOUND
55683885668,10/02/2023 6:19,169,61385928842,61819701757,OUTBOUND
55683885676,10/02/2023 6:20,110,61395554323,61472961376,OUTBOUND
55683885682,10/02/2023 6:25,70,61288555347,61849891402,OUTBOUND
55683885685,10/02/2023 6:25,165,61385928842,64691835486,OUTBOUND
55683885694,10/02/2023 6:27,197,61899226707,61441329705,OUTBOUND
55683885701,10/02/2023 6:30,53,61395554320,61270330231,OUTBOUND
55683885711,10/02/2023 6:34,79,61385928844,64570597470,OUTBOUND
55683885715,10/02/2023 6:34,144,61899226709,61351088467,OUTBOUND
55683885723,10/02/2023 6:38,65,61234343241,61395554324,INBOUND
55683885727,10/02/2023 6:41,123,61395554320,61806897336,OUTBOUND
55683885733,10/02/2023 6:45,16,61899226708,64517849554,OUTBOUND
55683885741,10/02/2023 6:47,6,61385928842,61762561047,OUTBOUND
55683885751,10/02/2023 6:48,129,61899226707,61482634289,OUTBOUND
55683885753,10/02/2023 6:52,194,61899226710,64452127678,OUTBOUND
55683885758,10/02/2023 6:56,11,61899226710,64664239046,OUTBOUND
55683885764,10/02/2023 6:57,78,61395554320,64727937155,OUTBOUND
55683885766,10/02/2023 7:02,110,61395554322,61356763662,OUTBOUND
55683885775,10/02/2023 7:04,97,61288555350,61415969142,OUTBOUND
55683885785,10/02/2023 7:04,103,61395554324,61472858952,OUTBOUND
55683885793,10/02/2023 7:04,210,61899226710,61371985239,OUTBOUND
55683885802,10/02/2023 7:07,134,61385928840,64321286595,OUTBOUND
55683885810,10/02/2023 7:09,190,61772046832,61385928844,INBOUND
55683885815,10/02/2023 7:10,70,61332465377,61288555346,INBOUND
55683885825,10/02/2023 7:11,168,61385928842,64693458506,OUTBOUND
55683885829,10/02/2023 7:14,42,61395554322,61855247593,OUTBOUND
55683885833,10/02/2023 7:15,91,61383305196,61288555350,INBOUND
55683885837,10/02/2023 7:16,180,61899226710,64733778708,OUTBOUND
55683885844,10/02/2023 7:20,159,61288555350,61742170809,OUTBOUND
55683885849,10/02/2023 7:21,180,64444885231,61385928843,INBOUND
55683885854,10/02/2023 7:26,55,61395554321,61392528408,OUTBOUND
55683885864,10/02/2023 7:29,140,61385928842,61365165883,OUTBOUND
55683885867,10/02/2023 7:32,159,61395554322,61314051005,OUTBOUND
55683885874,10/02/2023 7:36,77,61899226707,64615704231,OUTBOUND
55683885884,10/02/2023 7:37,24,61899226708,61769375353,OUTBOUND
55683885886,10/02/2023 7:38,45,61395554321,61798820618,OUTBOUND
55683885896,10/02/2023 7:43,85,61395554322,61877238637,OUTBOUND
55683885900,10/02/2023 7:46,15,61288555348,61770554806,OUTBOUND
55683885902,10/02/2023 7:48,121,61395554322,64504254524,OUTBOUND
55683885905,10/02/2023 7:49,185,61843310116,61385928844,INBOUND
55683885912,10/02/2023 7:54,136,61385928842,61749522658,OUTBOUND
55683885920,10/02/2023 7:55,104,61385928841,61332827266,OUTBOUND
55683885924,10/02/2023 7:57,97,61385928844,61769375353,OUTBOUND
55683885926,10/02/2023 7:59,146,61899226708,61769375353,OUTBOUND
55683885930,10/02/2023 8:00,176,64769799491,61395554320,INBOUND
55683885936,10/02/2023 8:02,106,61395554324,61801855142,OUTBOUND
55683885942,10/02/2023 8:06,208,61395554324,61263545061,OUTBOUND
55683885944,10/02/2023 8:08,4,61899226709,64454605523,OUTBOUND
55683885950,10/02/2023 8:10,41,61288555350,61861516207,OUTBOUND
55683885957,10/02/2023 8:10,40,61762503839,61288555350,INBOUND
